x/c;y/c
1.0;0.0
0.982239;0.00106204
0.964455;0.00302953
0.946634;0.00463941
0.928778;0.00578612
0.910897;0.00643961
0.893005;0.00661181
0.875114;0.00632259
0.857236;0.00558819
0.839379;0.00445591
0.821551;0.00292938
0.803759;0.00103134
0.786015;-0.00127569
0.768319;-0.00392328
0.750674;-0.00688839
0.733079;-0.0101428
0.715537;-0.013672
0.730757;0.0537652
0.748631;0.0498774
0.766509;0.0460108
0.784396;0.0421834
0.802294;0.0384091
0.820204;0.0346936
0.838127;0.0310382
0.856059;0.0274289
0.874003;0.0238775
0.891959;0.0203914
0.909928;0.0169685
0.927911;0.0136193
0.945909;0.0103556
0.963927;0.00720308
0.981967;0.00418068
0.698051;-0.0174643
0.680618;-0.0214983
0.663235;-0.0257434
0.645896;-0.0301625
0.628592;-0.0347153
0.611312;-0.0393622
0.594048;-0.044064
0.576787;-0.048781
0.559519;-0.05347
0.542229;-0.0580768
0.52491;-0.0625749
0.507552;-0.0669187
0.490145;-0.0710597
0.472679;-0.074946
0.455136;-0.0784712
0.437515;-0.0815804
0.443422;0.108889
0.461544;0.106404
0.479637;0.103715
0.497698;0.10082
0.515734;0.0977721
0.533747;0.0945903
0.551738;0.0912893
0.569709;0.0878774
0.587658;0.0843557
0.605585;0.0807209
0.623492;0.0769889
0.641385;0.0731902
0.659268;0.069347
0.677145;0.0654717
0.695016;0.0615737
0.712886;0.0576667
0.419833;-0.0843168
0.402097;-0.0866702
0.384312;-0.0886295
0.366487;-0.090184
0.34863;-0.0913189
0.330748;-0.0919757
0.312857;-0.0922131
0.294966;-0.0920302
0.277083;-0.091431
0.259219;-0.0904211
0.241383;-0.0890042
0.223584;-0.0871778
0.205832;-0.0849349
0.188139;-0.0822674
0.170527;-0.0791084
0.156667;-0.0763341
0.156667;0.0991321
0.170727;0.10261
0.188589;0.106549
0.206575;0.109872
0.224652;0.112657
0.242804;0.114902
0.261014;0.116606
0.279267;0.117774
0.297546;0.118429
0.315836;0.118599
0.334124;0.118305
0.352402;0.117582
0.370658;0.116437
0.388889;0.114963
0.407095;0.113194
0.425272;0.111161
0.139967;-0.072535
0.132744;-0.0707827
0.125548;-0.068923
0.118374;-0.0669787
0.111219;-0.0649694
0.104099;-0.0628336
0.0998721;0.0805067
0.107645;0.0835056
0.115467;0.0863724
0.123331;0.089124
0.131247;0.0917201
0.139211;0.0941671
0.0970061;-0.0606144
0.0899397;-0.0583107
0.0829061;-0.055908
0.0759195;-0.0533719
0.0689738;-0.0507264
0.0620754;-0.0479604
0.0552312;-0.0450628
0.0484519;-0.0420166
0.0417497;-0.0388043
0.0351414;-0.0354031
0.0286677;-0.0317528
0.0223505;-0.0278383
0.016253;-0.0235915
0.01049;-0.0189034
0.00534812;-0.0135515
0.00147211;-0.00724106
0.0;0.0
0.00149153;0.0081593
0.004945;0.0157224
0.00961463;0.0226123
0.0150416;0.0289273
0.020982;0.0347646
0.0272983;0.0401953
0.0338924;0.0452852
0.0407166;0.0500629
0.0477125;0.0545856
0.0548553;0.0588728
0.0621256;0.0629402
0.0695062;0.066804
0.0769832;0.0704775
0.084544;0.0739755
0.0921768;0.0773136
