x/c;y/c
1.0;0.0
0.96811;-0.002047
0.9432;-0.004154
0.91838;-0.0071964
0.8887;-0.011568
0.85908;-0.016331
0.82461;-0.022358
0.78529;-0.029696
0.74601;-0.037276
0.70675;-0.044916
0.66746;-0.052421
0.62812;-0.059644
0.5887;-0.066447
0.5887;0.066447
0.62812;0.059644
0.66746;0.052421
0.70675;0.044916
0.74601;0.037276
0.78529;0.029696
0.82461;0.022358
0.85908;0.016331
0.8887;0.011568
0.91838;0.0071964
0.9432;0.004154
0.96811;0.002047
0.9432;-0.004154
0.85908;-0.016331
0.70675;-0.044916
0.85908;0.016331
0.9432;-0.004154
0.85908;-0.016331
0.85908;0.016331
0.54919;-0.072681
0.50957;-0.07821
0.46985;-0.082872
0.43001;-0.086499
0.39009;-0.088936
0.3501;-0.089999
0.31011;-0.089493
0.27615;-0.087919
0.24524;-0.085582
0.21739;-0.082689
0.1926;-0.079441
0.17087;-0.076036
0.17087;0.076036
0.1926;0.079441
0.21739;0.082689
0.24524;0.085582
0.27615;0.087919
0.31011;0.089493
0.3501;0.089999
0.39009;0.088936
0.43001;0.086499
0.46985;0.082872
0.50957;0.07821
0.54919;0.072681
0.54919;-0.072681
0.39009;-0.088936
0.24524;-0.085582
0.39009;0.088936
0.70675;-0.044916
0.39009;-0.088936
0.54919;-0.072681
0.39009;0.088936
0.15217;-0.072668
0.13648;-0.069509
0.12379;-0.066695
0.11407;-0.064362
0.10467;-0.061945
0.09561;-0.05945
0.086881;-0.056879
0.078488;-0.054234
0.070433;-0.051518
0.062723;-0.048728
0.055363;-0.045857
0.048358;-0.042908
0.048358;0.042908
0.055363;0.045857
0.062723;0.048728
0.070433;0.051518
0.078488;0.054234
0.086881;0.056879
0.09561;0.05945
0.10467;0.061945
0.11407;0.064362
0.12379;0.066695
0.13648;0.069509
0.15217;0.072668
0.15217;-0.072668
0.10467;-0.061945
0.070433;-0.051518
0.10467;0.061945
0.24524;-0.085582
0.15217;-0.072668
0.10467;-0.061945
0.10467;0.061945
0.041714;-0.039884
0.035436;-0.036789
0.029526;-0.033633
0.023983;-0.030435
0.018845;-0.027147
0.014218;-0.023652
0.010153;-0.01995
0.0066316;-0.016125
0.0037408;-0.012172
0.001635;-0.0080869
0.00039133;-0.0039759
0.0;0.0
0.00039133;0.0039759
0.001635;0.0080869
0.0037408;0.012172
0.0066316;0.016125
0.010153;0.01995
0.014218;0.023652
0.018845;0.027147
0.023983;0.030435
0.029526;0.033633
0.035436;0.036789
0.041714;0.039884
0.041714;-0.039884
0.018845;-0.027147
0.0;0.0
0.018845;0.027147
0.070433;-0.051518
0.041714;-0.039884
0.018845;-0.027147
0.0;0.0
0.018845;0.027147
