Re;aoa;case;d95ps;d95ss
600000.0;-12.0;tu;0.0002560235268066317;0.0024708661018078264
600000.0;-12.0;tr;0.00025351945550209655;0.0016847368762453992
600000.0;-10.0;tu;0.0646477277423229;0.0028975675484195344
600000.0;-10.0;tr;0.06451172120335505;0.002234428023209564
600000.0;-8.0;tu;0.04163767611968631;0.0035610882882868315
600000.0;-8.0;tr;0.01727960382590608;0.0030102660190487887
600000.0;-6.0;tu;0.021586414466312334;0.004325310835245159
600000.0;-6.0;tr;0.009357237617791978;0.003543552593149935
600000.0;-4.0;tu;0.012985490121180453;0.00507211213100885
600000.0;-4.0;tr;0.006976161725093523;0.004111965519828441
600000.0;-2.0;tu;0.009233143461473643;0.005992143197921102
600000.0;-2.0;tr;0.005768454863933476;0.004833640480253441
600000.0;0.0;tu;0.007119375078153089;0.007213902385614505
600000.0;0.0;tr;0.0048633230845639;0.005622167543486483
600000.0;2.0;tu;0.005728021167942128;0.008920188967193807
600000.0;2.0;tr;0.0040904774606822175;0.006634177040752097
600000.0;4.0;tu;0.004723369161968633;0.011456546989351815
600000.0;4.0;tr;0.0035913189246482013;0.008126589731962059
600000.0;6.0;tu;0.00395015421061878;0.01558457146725501
600000.0;6.0;tr;0.0031231141292964986;0.010272741243174711
600000.0;8.0;tu;0.0033214012940881305;0.023394577525885134
600000.0;8.0;tr;0.002735946048453274;0.0127245647317824
600000.0;10.0;tu;0.0027842065033285026;0.04176912788318935
600000.0;10.0;tr;0.002441573465594431;0.015627785851357632
600000.0;12.0;tu;0.0023717700413371495;0.08091185958748756
600000.0;12.0;tr;0.002048655549047354;0.04904062130000087
1200000.0;-12.0;tu;0.00015742850098609268;0.0021568784441925015
1200000.0;-12.0;tr;0.00015619148142989868;0.0014213673373115745
1200000.0;-10.0;tu;0.051237978272932506;0.002586159907404479
1200000.0;-10.0;tr;0.050773714954919266;0.0017230665495334195
1200000.0;-8.0;tu;0.027783242826460598;0.00316731423386656
1200000.0;-8.0;tr;0.025500181545862668;0.002241670188694212
1200000.0;-6.0;tu;0.015212137678257897;0.003714090528998155
1200000.0;-6.0;tr;0.00527090283773233;0.0026552806468395796
1200000.0;-4.0;tu;0.010227019964876568;0.0043219802099895436
1200000.0;-4.0;tr;0.00518020505573082;0.003248972740330145
1200000.0;-2.0;tu;0.007650970595853697;0.005087130506336403
1200000.0;-2.0;tr;0.004355854808700431;0.0037552934735024003
1200000.0;0.0;tu;0.006042397996466964;0.006090098139360427
1200000.0;0.0;tr;0.0037165261146257463;0.004388434333342981
1200000.0;2.0;tu;0.0049274253888264225;0.0074593024170974045
1200000.0;2.0;tr;0.0032090473798351516;0.004965594444443909
1200000.0;4.0;tu;0.004097588079910633;0.009430065744935868
1200000.0;4.0;tr;0.0027919140795369083;0.006079657950937814
1200000.0;6.0;tu;0.0034491090111944778;0.012479369459863122
1200000.0;6.0;tr;0.002488240604179665;0.007235198831672333
1200000.0;8.0;tu;0.002918418410760985;0.017793965512261145
1200000.0;8.0;tr;0.0022702790687685608;0.00734142732741713
1200000.0;10.0;tu;0.0024649734618889156;0.029067616977736473
1200000.0;10.0;tr;0.001959161628210456;0.011910999733665696
1200000.0;12.0;tu;0.0020752648659727426;0.05678658017997858
1200000.0;12.0;tr;0.001657572790523381;0.046957479895149375
1800000.0;-12.0;tu;0.00011826034963024455;0.0020101448514543473
1800000.0;-12.0;tr;0.00011758276324511055;0.0010190092411694683
1800000.0;-10.0;tu;0.04334577219200599;0.002436218016503185
1800000.0;-10.0;tr;0.042088132286363315;0.0013043049275964006
1800000.0;-8.0;tu;0.021927693831010262;0.00293510426548095
1800000.0;-8.0;tr;0.020734875926584993;0.001648140064132033
1800000.0;-6.0;tu;0.012900012744695138;0.0034026750737333293
1800000.0;-6.0;tr;0.004638640781273231;0.0019853934638259527
1800000.0;-4.0;tu;0.009058003695054072;0.00395068723423513
1800000.0;-4.0;tr;0.00446013050257695;0.002685494101956535
1800000.0;-2.0;tu;0.006910947425721608;0.004640585056263366
1800000.0;-2.0;tr;0.0037741563099930172;0.003151771599601576
1800000.0;0.0;tu;0.005515483465154828;0.005537910739003919
1800000.0;0.0;tr;0.0029249637753893274;0.0035175442493401363
1800000.0;2.0;tu;0.004525797496589133;0.0067498031997669395
1800000.0;2.0;tr;0.0025603808859639395;0.0043037481497103505
1800000.0;4.0;tu;0.003779851109547243;0.008467992079885585
1800000.0;4.0;tr;0.0023238149548409325;0.005058787992846455
1800000.0;6.0;tu;0.003191953728771413;0.011072336422171437
1800000.0;6.0;tr;0.002225884639671666;0.006171887848770195
1800000.0;8.0;tu;0.002710531330948611;0.015449605875929168
1800000.0;8.0;tr;0.0020016730772254927;0.006577231040575385
1800000.0;10.0;tu;0.0023003544505070853;0.024171489749296917
1800000.0;10.0;tr;0.0017730725030674498;0.012125393893197424
1800000.0;12.0;tu;0.0019384155108821207;0.045745482117656326
1800000.0;12.0;tr;0.0014690155761594424;0.03721586601002484
3000000.0;-12.0;tu;8.144392182288911e-05;0.0018541557609461524
3000000.0;-12.0;tr;7.821935386165843e-05;0.0009467494899599962
3000000.0;-10.0;tu;0.033849368154243144;0.0022591550494987975
3000000.0;-10.0;tr;0.03153898204676162;0.001222752053510776
3000000.0;-8.0;tu;0.016964358573461968;0.0026572420604906435
3000000.0;-8.0;tr;0.01604981309967515;0.0014938709376898602
3000000.0;-6.0;tu;0.010813473163528028;0.0030605519138334446
3000000.0;-6.0;tr;0.004695261277229052;0.0017458991984325095
3000000.0;-4.0;tu;0.007882104840569617;0.0035460336384983905
3000000.0;-4.0;tr;0.003001303589276365;0.0020165177988410794
3000000.0;-2.0;tu;0.006124974788472425;0.004154072367004794
3000000.0;-2.0;tr;0.0025328091621920268;0.002334988537369221
